seq,seq,N,S,dN,dS,dN/dS,Paras.,,,
40,5,16840.5,6448.5,0.0178,0.1065,0.1672,0.1271,2.7159,0.1672,-35889.455
40,6,16838.8,6450.2,0.0161,0.0954,0.1684,0.1142,2.6697,0.1684,-35573.904
40,7,16877.2,6411.8,0.0174,0.1006,0.173,0.1209,2.595,0.173,-35772.092
40,8,16826.9,6462.1,0.0166,0.1057,0.1574,0.1241,2.74,0.1574,-35790.751
40,9,16827.2,6461.8,0.0158,0.099,0.1599,0.1168,2.7161,0.1599,-35621.151
40,10,16884.3,6404.7,0.0159,0.0991,0.1609,0.1165,2.5249,0.1609,-35631.461
40,11,16845.1,6443.9,0.0186,0.1069,0.1737,0.129,2.7046,0.1737,-35958.593
40,12,16813.8,6475.2,0.0174,0.1064,0.1639,0.1265,2.8219,0.1639,-35860.02
40,13,16957.5,6331.5,0.0166,0.0907,0.1833,0.1103,2.327,0.1833,-35539.755
40,14,17000.3,6288.7,0.0169,0.0862,0.1959,0.1068,2.2163,0.1959,-35478.751
40,15,16869.3,6419.7,0.0148,0.0851,0.1741,0.1026,2.5956,0.1741,-35264.103
40,16,16904.3,6384.7,0.016,0.0955,0.1677,0.1134,2.4982,0.1677,-35562.397
40,17,16759.1,6529.9,0.0118,0.0701,0.1685,0.0845,2.9831,0.1685,-34730.335
40,18,16728.8,6560.2,0.0113,0.0725,0.156,0.0857,3.1139,0.156,-34732.704
40,19,16799.3,6489.7,0.0112,0.0672,0.1668,0.0804,2.8556,0.1668,-34612.041
40,20,16865.1,6423.9,0.0169,0.1138,0.1484,0.1309,2.6419,0.1484,-35939.916
40,21,16934.2,6354.8,0.0047,0.0315,0.1497,0.0361,2.3739,0.1497,-33167.948
40,22,17291.6,5997.4,0.0038,0.0192,0.1969,0.0233,1.5473,0.1969,-32727.345
40,23,16927.6,6361.4,0.0154,0.1122,0.1374,0.1255,2.4323,0.1374,-35791.926
40,24,16895.2,6393.8,0.0164,0.116,0.1417,0.1314,2.5532,0.1417,-35939.34
40,25,16924.4,6364.6,0.0175,0.1179,0.1482,0.1347,2.4399,0.1482,-36059.164
40,26,16868.1,6420.9,0.0169,0.1136,0.1487,0.1307,2.6115,0.1487,-35939.63
40,27,16889.7,6399.3,0.0171,0.113,0.1516,0.1304,2.5493,0.1516,-35944.308
40,28,16920.2,6368.8,0.0044,0.0241,0.1809,0.0293,2.4205,0.1809,-32936.011
40,29,16915.6,6373.4,0.0165,0.1121,0.1475,0.1281,2.468,0.1475,-35882.925
40,30,16948.8,6340.2,0.0056,0.029,0.1945,0.036,2.342,0.1945,-33200.877
40,31,16803.8,6485.2,0.0133,0.071,0.1867,0.088,2.8207,0.1867,-34873.243
40,32,16908.2,6380.8,0.0223,0.1486,0.1503,0.1708,2.4858,0.1503,-36889.833
40,33,16911.7,6377.3,0.0154,0.1128,0.1363,0.1262,2.4866,0.1363,-35801.119
40,34,17081.4,6207.6,0.004,0.0196,0.2062,0.0246,1.9829,0.2062,-32777.915
40,35,16943.4,6345.6,0.0159,0.115,0.1381,0.1287,2.3758,0.1381,-35874.875
40,36,16926.3,6362.7,0.0218,0.1498,0.1456,0.1703,2.4382,0.1456,-36871.372
40,37,17017.4,6271.6,0.0043,0.0264,0.1613,0.0306,2.1268,0.1613,-32987.006
40,38,16882.8,6406.2,0.0164,0.1111,0.148,0.1274,2.5858,0.148,-35858.209
40,39,16899.4,6389.6,0.0158,0.113,0.1401,0.1275,2.5191,0.1401,-35845.79
