"Collection","Sample","Species","Plant_height","Veg_height","Leaf_width","Leaf_length","Sheath_length","Leaf_roll","Leaf_dry","Internode_dist","Culm_diam","Inflor_length","Spikelet_no","Pedicel_length_epu","Glume_length_outer","Glume_length_inner","Spikelet_width","Spikelet_length","Lemma_outer_length","Lemma_inner_length","Striation_no","Lemma_tip","Hair_tuft"
1594,6,"E_rupestris_tricostata",570,455,1.37,10.91,45.95,1,1,177.8,1.16,43.36,7,10,20,19,13,54,11,53,0,2,0
1603,3,"E_rupestris_tricostata",430,225,1.13,14.85,52.06,1,0,131.28,1.1,45.27,9,5,18,17,11.5,49.5,15,48,0,2,0
1603,1,"E_rupestris_tricostata",340,230,1.48,26.28,45.93,1,0,102.54,0.86,33.76,6,8,18,18,14,53,19,49,0,2,0
1618,1,"E_rupestris_tricostata",460,430,1.88,48.89,13.64,1,0,34.26,0.49,22.48,5,32.5,19,18,15,49,15,47.5,0,2,0
1618,4,"E_rupestris_tricostata",305,280,1.6,49.73,16.18,1,0,22.31,0.55,22.64,5,36,14,14,13,48,11,46.5,0,2,0
1621,1,"E_rupestris_tricostata",410,335,2,85.63,31.5,1,0,48.97,0.75,37.94,8,64,14,12,14,50,14.5,50,0,2,0
1621,5,"E_rupestris_tricostata",265,185,1.9,55.21,19.93,1,0,13.41,0.67,31.08,6,51,18.5,17,15,52,15,51.5,0,2,0
1632,1,"E_rupestris_tricostata",250,140,1.08,49.32,10.86,1,0,18.12,0.68,24.23,4,34,26,22,14,50,17,49,0,2,0
1632,2,"E_rupestris_tricostata",210,130,0.96,27.4,14.98,1,0,38.77,0.62,26.81,5,37,29,24,14,50.5,16,50,0,2,0
1640,4,"E_rupestris_tricostata",240,195,1.03,35.43,9.8,1,0,13.43,0.64,11.62,2,24.5,27.5,29,13,57,25,55.5,0,2,0
1640,1,"E_rupestris_tricostata",430,350,0.98,35.95,10.91,1,0,26.35,0.76,21.64,4,72,28,28.5,16,63,22,60,0,2,0
1648,3,"E_rupestris_tricostata",360,275,1.56,90.23,18.81,1,0,18.96,0.63,23.31,6,41,19,22,12,57,22,54,0,2,0
1648,5,"E_rupestris_tricostata",350,270,1.74,104.9,24.01,1,0,25.29,0.82,33.89,7,63,21,21,12,65.5,27,63,0,2,0
1657,3,"E_rupestris_tricostata",445,385,1.52,56.8,11.99,1,0,40.96,0.7,20.56,4,18,23,21,15,57,16.5,55.5,0,2,0
1657,5,"E_rupestris_tricostata",370,310,1.88,66.7,20.19,1,0,25.6,0.72,16.33,3,24,25,25,15,57,15,54,0,2,0
1661,3,"E_rupestris_tricostata",490,385,0.94,5.16,38.79,1,1,107.46,1,25.17,6,13,21,20,12.5,49,18,48,0,2,0
1661,5,"E_rupestris_tricostata",605,465,1.11,14.03,57.97,1,1,129.81,1.7,39.06,8,14,19,20.5,13,49,12,48,0,2,0
1589,3,"E_setacea_disticha",180,150,1.14,13.84,3.16,2,0,2.73,0.85,11.76,5,6,33.5,36,17,43,18,42.6,0,2,0
1589,1,"E_setacea_disticha",185,165,1.78,26.68,4.31,2,0,5.74,1.13,9.97,3,12,36,39,15,46,23,43,0,2,0
1597,4,"E_setacea_disticha",170,155,1.02,21.83,5.83,2,0,7.1,0.77,5.09,1,43.5,36,39,14,43,17.5,41,0,2,0
1597,1,"E_setacea_disticha",160,140,1.72,12.8,4.33,2,0,2.53,1.05,6.49,1,27,40,38,14,45,13.5,43,0,2,0
1598,1,"E_setacea_disticha",75,75,1.4,17.13,5.8,2,0,2.93,0.77,5.87,1,26,31,31,13.5,51.5,15,47,0,2,0
1598,2,"E_setacea_disticha",70,70,1.44,16.45,4.36,2,0,1.99,0.66,6.65,1,23,38,35,15,49,15,41.5,0,2,0
1599,1,"E_setacea_disticha",150,140,1.23,28.77,10.13,1,0,5.22,0.71,15.04,4,14.5,46,46,14,52,18,51,0,2,0
1599,2,"E_setacea_disticha",140,120,1.46,30.36,7.08,1,0,4.75,0.6,14.78,3,12,47,48,15,50,20,49,0,2,0
1572,6,"E_setacea_uniflora",805,785,1.39,48.26,23.06,0,0,37,0.37,19.25,3,13.5,53,52,15,46,22,44.5,0,2,0
